topology,payoff,benefit,beta,mutation,init_c,sim,t,c
rrg,acc,1.005,10,0,0.2,1,218000,0.589
rrg,acc,1.005,10,0,0.2,1,219000,0.595
rrg,acc,1.005,10,0,0.2,1,220000,0.603
rrg,acc,1.005,10,0,0.2,1,221000,0.622
rrg,acc,1.005,10,0,0.2,1,222000,0.604
rrg,acc,1.005,10,0,0.2,1,223000,0.619
rrg,acc,1.005,10,0,0.2,1,224000,0.616
rrg,acc,1.005,10,0,0.2,1,225000,0.624
rrg,acc,1.005,10,0,0.2,1,226000,0.626
rrg,acc,1.005,10,0,0.2,1,227000,0.622
rrg,acc,1.005,10,0,0.2,1,228000,0.628
rrg,acc,1.005,10,0,0.2,1,229000,0.621
rrg,acc,1.005,10,0,0.2,1,230000,0.612
rrg,acc,1.005,10,0,0.2,1,231000,0.594
rrg,acc,1.005,10,0,0.2,1,232000,0.603
rrg,acc,1.005,10,0,0.2,1,233000,0.596
rrg,acc,1.005,10,0,0.2,1,234000,0.59
rrg,acc,1.005,10,0,0.2,1,235000,0.575
rrg,acc,1.005,10,0,0.2,1,236000,0.584
rrg,acc,1.005,10,0,0.2,1,237000,0.573
rrg,acc,1.005,10,0,0.2,1,238000,0.572
rrg,acc,1.005,10,0,0.2,1,239000,0.56
rrg,acc,1.005,10,0,0.2,1,240000,0.566
rrg,acc,1.005,10,0,0.2,1,241000,0.564
rrg,acc,1.005,10,0,0.2,1,242000,0.551
rrg,acc,1.005,10,0,0.2,1,243000,0.571
rrg,acc,1.005,10,0,0.2,1,244000,0.581
rrg,acc,1.005,10,0,0.2,1,245000,0.566
rrg,acc,1.005,10,0,0.2,1,246000,0.567
rrg,acc,1.005,10,0,0.2,1,247000,0.568
rrg,acc,1.005,10,0,0.2,1,248000,0.581
rrg,acc,1.005,10,0,0.2,1,249000,0.558
rrg,acc,1.005,10,0,0.2,1,250000,0.555
rrg,acc,1.005,10,0,0.2,1,251000,0.563
rrg,acc,1.005,10,0,0.2,1,252000,0.572
rrg,acc,1.005,10,0,0.2,1,253000,0.556
rrg,acc,1.005,10,0,0.2,1,254000,0.559
rrg,acc,1.005,10,0,0.2,1,255000,0.557
rrg,acc,1.005,10,0,0.2,1,256000,0.564
rrg,acc,1.005,10,0,0.2,1,257000,0.562
rrg,acc,1.005,10,0,0.2,1,258000,0.548
rrg,acc,1.005,10,0,0.2,1,259000,0.542
rrg,acc,1.005,10,0,0.2,1,260000,0.542
rrg,acc,1.005,10,0,0.2,1,261000,0.543
rrg,acc,1.005,10,0,0.2,1,262000,0.541
rrg,acc,1.005,10,0,0.2,1,263000,0.542
rrg,acc,1.005,10,0,0.2,1,264000,0.545
rrg,acc,1.005,10,0,0.2,1,265000,0.561
rrg,acc,1.005,10,0,0.2,1,266000,0.572
rrg,acc,1.005,10,0,0.2,1,267000,0.572
rrg,acc,1.005,10,0,0.2,1,268000,0.581
rrg,acc,1.005,10,0,0.2,1,269000,0.569
rrg,acc,1.005,10,0,0.2,1,270000,0.563
rrg,acc,1.005,10,0,0.2,1,271000,0.563
rrg,acc,1.005,10,0,0.2,1,272000,0.557
rrg,acc,1.005,10,0,0.2,1,273000,0.561
rrg,acc,1.005,10,0,0.2,1,274000,0.566
rrg,acc,1.005,10,0,0.2,1,275000,0.584
rrg,acc,1.005,10,0,0.2,1,276000,0.587
rrg,acc,1.005,10,0,0.2,1,277000,0.576
rrg,acc,1.005,10,0,0.2,1,278000,0.569
rrg,acc,1.005,10,0,0.2,1,279000,0.573
rrg,acc,1.005,10,0,0.2,1,280000,0.584
rrg,acc,1.005,10,0,0.2,1,281000,0.574
rrg,acc,1.005,10,0,0.2,1,282000,0.58
rrg,acc,1.005,10,0,0.2,1,283000,0.593
rrg,acc,1.005,10,0,0.2,1,284000,0.597
rrg,acc,1.005,10,0,0.2,1,285000,0.599
rrg,acc,1.005,10,0,0.2,1,286000,0.614
rrg,acc,1.005,10,0,0.2,1,287000,0.604
rrg,acc,1.005,10,0,0.2,1,288000,0.601
rrg,acc,1.005,10,0,0.2,1,289000,0.624
rrg,acc,1.005,10,0,0.2,1,290000,0.618
rrg,acc,1.005,10,0,0.2,1,291000,0.605
rrg,acc,1.005,10,0,0.2,1,292000,0.614
rrg,acc,1.005,10,0,0.2,1,293000,0.624
rrg,acc,1.005,10,0,0.2,1,294000,0.627
rrg,acc,1.005,10,0,0.2,1,295000,0.636
rrg,acc,1.005,10,0,0.2,1,296000,0.639
rrg,acc,1.005,10,0,0.2,1,297000,0.638
rrg,acc,1.005,10,0,0.2,1,298000,0.61
rrg,acc,1.005,10,0,0.2,1,299000,0.604
rrg,acc,1.005,10,0,0.2,1,300000,0.595
rrg,acc,1.005,10,0,0.2,1,301000,0.622
rrg,acc,1.005,10,0,0.2,1,302000,0.601
rrg,acc,1.005,10,0,0.2,1,303000,0.599
rrg,acc,1.005,10,0,0.2,1,304000,0.599
rrg,acc,1.005,10,0,0.2,1,305000,0.591
rrg,acc,1.005,10,0,0.2,1,306000,0.59
rrg,acc,1.005,10,0,0.2,1,307000,0.612
rrg,acc,1.005,10,0,0.2,1,308000,0.623
rrg,acc,1.005,10,0,0.2,1,309000,0.627
rrg,acc,1.005,10,0,0.2,1,310000,0.633
rrg,acc,1.005,10,0,0.2,1,311000,0.637
rrg,acc,1.005,10,0,0.2,1,312000,0.64
rrg,acc,1.005,10,0,0.2,1,313000,0.628
rrg,acc,1.005,10,0,0.2,1,314000,0.633
rrg,acc,1.005,10,0,0.2,1,315000,0.642
rrg,acc,1.005,10,0,0.2,1,316000,0.633
rrg,acc,1.005,10,0,0.2,1,317000,0.625
rrg,acc,1.005,10,0,0.2,1,318000,0.627
rrg,acc,1.005,10,0,0.2,1,319000,0.651
rrg,acc,1.005,10,0,0.2,1,320000,0.65
rrg,acc,1.005,10,0,0.2,1,321000,0.64
rrg,acc,1.005,10,0,0.2,1,322000,0.623
rrg,acc,1.005,10,0,0.2,1,323000,0.621
rrg,acc,1.005,10,0,0.2,1,324000,0.627
rrg,acc,1.005,10,0,0.2,1,325000,0.634
rrg,acc,1.005,10,0,0.2,1,326000,0.634
rrg,acc,1.005,10,0,0.2,1,327000,0.625
rrg,acc,1.005,10,0,0.2,1,328000,0.638
rrg,acc,1.005,10,0,0.2,1,329000,0.632
rrg,acc,1.005,10,0,0.2,1,330000,0.632
rrg,acc,1.005,10,0,0.2,1,331000,0.627
rrg,acc,1.005,10,0,0.2,1,332000,0.623
rrg,acc,1.005,10,0,0.2,1,333000,0.63
rrg,acc,1.005,10,0,0.2,1,334000,0.611
rrg,acc,1.005,10,0,0.2,1,335000,0.623
rrg,acc,1.005,10,0,0.2,1,336000,0.61
rrg,acc,1.005,10,0,0.2,1,337000,0.593
rrg,acc,1.005,10,0,0.2,1,338000,0.603
rrg,acc,1.005,10,0,0.2,1,339000,0.602
rrg,acc,1.005,10,0,0.2,1,340000,0.593
rrg,acc,1.005,10,0,0.2,1,341000,0.601
rrg,acc,1.005,10,0,0.2,1,342000,0.595
rrg,acc,1.005,10,0,0.2,1,343000,0.588
rrg,acc,1.005,10,0,0.2,1,344000,0.601
rrg,acc,1.005,10,0,0.2,1,345000,0.604
rrg,acc,1.005,10,0,0.2,1,346000,0.591
rrg,acc,1.005,10,0,0.2,1,347000,0.582
rrg,acc,1.005,10,0,0.2,1,348000,0.584
rrg,acc,1.005,10,0,0.2,1,349000,0.598
rrg,acc,1.005,10,0,0.2,1,350000,0.597
rrg,acc,1.005,10,0,0.2,1,351000,0.598
rrg,acc,1.005,10,0,0.2,1,352000,0.582
rrg,acc,1.005,10,0,0.2,1,353000,0.586
rrg,acc,1.005,10,0,0.2,1,354000,0.598
rrg,acc,1.005,10,0,0.2,1,355000,0.598
rrg,acc,1.005,10,0,0.2,1,356000,0.614
rrg,acc,1.005,10,0,0.2,1,357000,0.625
rrg,acc,1.005,10,0,0.2,1,358000,0.605
rrg,acc,1.005,10,0,0.2,1,359000,0.607
rrg,acc,1.005,10,0,0.2,1,360000,0.602
rrg,acc,1.005,10,0,0.2,1,361000,0.589
rrg,acc,1.005,10,0,0.2,1,362000,0.568
rrg,acc,1.005,10,0,0.2,1,363000,0.568
rrg,acc,1.005,10,0,0.2,1,364000,0.565
rrg,acc,1.005,10,0,0.2,1,365000,0.551
rrg,acc,1.005,10,0,0.2,1,366000,0.557
rrg,acc,1.005,10,0,0.2,1,367000,0.567
rrg,acc,1.005,10,0,0.2,1,368000,0.55
rrg,acc,1.005,10,0,0.2,1,369000,0.554
rrg,acc,1.005,10,0,0.2,1,370000,0.541
rrg,acc,1.005,10,0,0.2,1,371000,0.55
rrg,acc,1.005,10,0,0.2,1,372000,0.555
rrg,acc,1.005,10,0,0.2,1,373000,0.551
rrg,acc,1.005,10,0,0.2,1,374000,0.577
rrg,acc,1.005,10,0,0.2,1,375000,0.596
rrg,acc,1.005,10,0,0.2,1,376000,0.568
rrg,acc,1.005,10,0,0.2,1,377000,0.565
rrg,acc,1.005,10,0,0.2,1,378000,0.562
rrg,acc,1.005,10,0,0.2,1,379000,0.563
rrg,acc,1.005,10,0,0.2,1,380000,0.582
rrg,acc,1.005,10,0,0.2,1,381000,0.583
rrg,acc,1.005,10,0,0.2,1,382000,0.595
rrg,acc,1.005,10,0,0.2,1,383000,0.587
rrg,acc,1.005,10,0,0.2,1,384000,0.581
rrg,acc,1.005,10,0,0.2,1,385000,0.577
rrg,acc,1.005,10,0,0.2,1,386000,0.59
rrg,acc,1.005,10,0,0.2,1,387000,0.576
rrg,acc,1.005,10,0,0.2,1,388000,0.578
rrg,acc,1.005,10,0,0.2,1,389000,0.572
rrg,acc,1.005,10,0,0.2,1,390000,0.571
rrg,acc,1.005,10,0,0.2,1,391000,0.565
rrg,acc,1.005,10,0,0.2,1,392000,0.564
rrg,acc,1.005,10,0,0.2,1,393000,0.579
rrg,acc,1.005,10,0,0.2,1,394000,0.58
rrg,acc,1.005,10,0,0.2,1,395000,0.581
rrg,acc,1.005,10,0,0.2,1,396000,0.553
rrg,acc,1.005,10,0,0.2,1,397000,0.57
rrg,acc,1.005,10,0,0.2,1,398000,0.584
rrg,acc,1.005,10,0,0.2,1,399000,0.57
rrg,acc,1.005,10,0,0.2,1,400000,0.563
rrg,acc,1.005,10,0,0.2,1,401000,0.565
rrg,acc,1.005,10,0,0.2,1,402000,0.582
rrg,acc,1.005,10,0,0.2,1,403000,0.591
rrg,acc,1.005,10,0,0.2,1,404000,0.584
rrg,acc,1.005,10,0,0.2,1,405000,0.6
rrg,acc,1.005,10,0,0.2,1,406000,0.596
rrg,acc,1.005,10,0,0.2,1,407000,0.584
rrg,acc,1.005,10,0,0.2,1,408000,0.603
rrg,acc,1.005,10,0,0.2,1,409000,0.615
rrg,acc,1.005,10,0,0.2,1,410000,0.617
rrg,acc,1.005,10,0,0.2,1,411000,0.603
rrg,acc,1.005,10,0,0.2,1,412000,0.603
rrg,acc,1.005,10,0,0.2,1,413000,0.593
rrg,acc,1.005,10,0,0.2,1,414000,0.607
rrg,acc,1.005,10,0,0.2,1,415000,0.598
rrg,acc,1.005,10,0,0.2,1,416000,0.59
rrg,acc,1.005,10,0,0.2,1,417000,0.6
rrg,acc,1.005,10,0,0.2,1,418000,0.606
rrg,acc,1.005,10,0,0.2,1,419000,0.635
rrg,acc,1.005,10,0,0.2,1,420000,0.615
rrg,acc,1.005,10,0,0.2,1,421000,0.599
rrg,acc,1.005,10,0,0.2,1,422000,0.591
rrg,acc,1.005,10,0,0.2,1,423000,0.594
rrg,acc,1.005,10,0,0.2,1,424000,0.609
rrg,acc,1.005,10,0,0.2,1,425000,0.628
rrg,acc,1.005,10,0,0.2,1,426000,0.624
rrg,acc,1.005,10,0,0.2,1,427000,0.622
rrg,acc,1.005,10,0,0.2,1,428000,0.63
rrg,acc,1.005,10,0,0.2,1,429000,0.643
rrg,acc,1.005,10,0,0.2,1,430000,0.637
rrg,acc,1.005,10,0,0.2,1,431000,0.617
rrg,acc,1.005,10,0,0.2,1,432000,0.621
rrg,acc,1.005,10,0,0.2,1,433000,0.608
rrg,acc,1.005,10,0,0.2,1,434000,0.609
rrg,acc,1.005,10,0,0.2,1,435000,0.61
rrg,acc,1.005,10,0,0.2,1,436000,0.605
rrg,acc,1.005,10,0,0.2,1,437000,0.611
rrg,acc,1.005,10,0,0.2,1,438000,0.612
rrg,acc,1.005,10,0,0.2,1,439000,0.62
rrg,acc,1.005,10,0,0.2,1,440000,0.63
rrg,acc,1.005,10,0,0.2,1,441000,0.623
rrg,acc,1.005,10,0,0.2,1,442000,0.611
rrg,acc,1.005,10,0,0.2,1,443000,0.603
rrg,acc,1.005,10,0,0.2,1,444000,0.585
rrg,acc,1.005,10,0,0.2,1,445000,0.584
rrg,acc,1.005,10,0,0.2,1,446000,0.593
